date,time,age,confirmed,deceased
20/03/2020,0,80s,329,33
21/03/2020,0,0s,99,0
21/03/2020,0,10s,457,0
21/03/2020,0,20s,2380,0
21/03/2020,0,30s,900,1
21/03/2020,0,40s,1203,1
21/03/2020,0,50s,1672,7
21/03/2020,0,60s,1118,17
21/03/2020,0,70s,589,37
21/03/2020,0,80s,381,39
22/03/2020,0,0s,101,0
22/03/2020,0,10s,460,0
22/03/2020,0,20s,2396,0
22/03/2020,0,30s,909,1
22/03/2020,0,40s,1221,1
22/03/2020,0,50s,1691,7
22/03/2020,0,60s,1132,17
22/03/2020,0,70s,595,37
22/03/2020,0,80s,392,41
23/03/2020,0,0s,103,0
23/03/2020,0,10s,460,0
23/03/2020,0,20s,2417,0
23/03/2020,0,30s,917,1
23/03/2020,0,40s,1228,1
23/03/2020,0,50s,1702,7
23/03/2020,0,60s,1139,18
23/03/2020,0,70s,599,38
23/03/2020,0,80s,396,46
24/03/2020,0,0s,105,0
24/03/2020,0,10s,468,0
24/03/2020,0,20s,2438,0
24/03/2020,0,30s,921,1
24/03/2020,0,40s,1234,1
24/03/2020,0,50s,1716,8
24/03/2020,0,60s,1146,20
24/03/2020,0,70s,608,38
24/03/2020,0,80s,401,52
25/03/2020,0,0s,105,0
25/03/2020,0,10s,475,0
25/03/2020,0,20s,2473,0
25/03/2020,0,30s,943,1
25/03/2020,0,40s,1246,1
25/03/2020,0,50s,1724,10
25/03/2020,0,60s,1154,20
25/03/2020,0,70s,611,39
25/03/2020,0,80s,406,55
26/03/2020,0,0s,106,0
26/03/2020,0,10s,488,0
26/03/2020,0,20s,2508,0
26/03/2020,0,30s,955,1
26/03/2020,0,40s,1252,1
26/03/2020,0,50s,1738,10
26/03/2020,0,60s,1162,20
26/03/2020,0,70s,616,41
26/03/2020,0,80s,416,58
27/03/2020,0,0s,108,0
27/03/2020,0,10s,496,0
27/03/2020,0,20s,2532,0
27/03/2020,0,30s,960,1
27/03/2020,0,40s,1256,1
27/03/2020,0,50s,1752,10
27/03/2020,0,60s,1170,21
27/03/2020,0,70s,630,41
27/03/2020,0,80s,428,65
28/03/2020,0,0s,109,0
28/03/2020,0,10s,501,0
28/03/2020,0,20s,2567,0
28/03/2020,0,30s,978,1
28/03/2020,0,40s,1278,1
28/03/2020,0,50s,1780,10
28/03/2020,0,60s,1201,21
28/03/2020,0,70s,632,41
28/03/2020,0,80s,432,70
29/03/2020,0,0s,111,0
29/03/2020,0,10s,508,0
29/03/2020,0,20s,2602,0
29/03/2020,0,30s,993,1
29/03/2020,0,40s,1292,1
29/03/2020,0,50s,1798,10
29/03/2020,0,60s,1210,21
29/03/2020,0,70s,635,43
29/03/2020,0,80s,434,76
30/03/2020,0,0s,112,0
30/03/2020,0,10s,513,0
30/03/2020,0,20s,2630,0
30/03/2020,0,30s,1002,1
30/03/2020,0,40s,1297,1
30/03/2020,0,50s,1812,10
30/03/2020,0,60s,1218,21
30/03/2020,0,70s,640,45
30/03/2020,0,80s,437,80
31/03/2020,0,0s,112,0
31/03/2020,0,10s,515,0
31/03/2020,0,20s,2656,0
31/03/2020,0,30s,1012,1
31/03/2020,0,40s,1312,1
31/03/2020,0,50s,1851,10
31/03/2020,0,60s,1235,22
31/03/2020,0,70s,651,46
31/03/2020,0,80s,442,82
01/04/2020,0,0s,116,0
01/04/2020,0,10s,519,0
01/04/2020,0,20s,2682,0
01/04/2020,0,30s,1027,1
01/04/2020,0,40s,1323,1
