date,hour,birth_year,sex,province,city,fp_num
2020-01-01,1,20,female,Seoul,Songpa-gu,47250
2020-01-01,1,20,male,Seoul,Songpa-gu,45770
2020-01-01,1,20,female,Seoul,Yangcheon-gu,27670
2020-01-01,1,20,male,Seoul,Yangcheon-gu,29890
2020-01-01,1,20,female,Seoul,Yeongdeungpo-gu,29240
2020-01-01,1,20,male,Seoul,Yeongdeungpo-gu,28860
2020-01-01,1,20,female,Seoul,Yongsan-gu,21320
2020-01-01,1,20,male,Seoul,Yongsan-gu,20900
2020-01-01,2,20,female,Seoul,Dobong-gu,19890
2020-01-01,2,20,male,Seoul,Dobong-gu,20950
2020-01-01,2,20,female,Seoul,Dongdaemun-gu,25310
2020-01-01,2,20,male,Seoul,Dongdaemun-gu,27350
2020-01-01,2,20,female,Seoul,Dongjag-gu,28240
2020-01-01,2,20,male,Seoul,Dongjag-gu,30100
2020-01-01,2,20,female,Seoul,Eunpyeong-gu,28640
2020-01-01,2,20,male,Seoul,Eunpyeong-gu,28520
2020-01-01,2,20,female,Seoul,Gangbuk-gu,19810
2020-01-01,2,20,male,Seoul,Gangbuk-gu,22000
2020-01-01,2,20,female,Seoul,Gangdong-gu,28330
2020-01-01,2,20,male,Seoul,Gangdong-gu,30650
2020-01-01,2,20,female,Seoul,Gangnam-gu,42900
2020-01-01,2,20,male,Seoul,Gangnam-gu,41540
2020-01-01,2,20,female,Seoul,Gangseo-gu,38350
2020-01-01,2,20,male,Seoul,Gangseo-gu,38520
2020-01-01,2,20,female,Seoul,Geumcheon-gu,14960
2020-01-01,2,20,male,Seoul,Geumcheon-gu,16650
2020-01-01,2,20,female,Seoul,Guro-gu,26060
2020-01-01,2,20,male,Seoul,Guro-gu,27070
2020-01-01,2,20,female,Seoul,Gwanak-gu,41840
2020-01-01,2,20,male,Seoul,Gwanak-gu,46000
2020-01-01,2,20,female,Seoul,Gwangjin-gu,31270
2020-01-01,2,20,male,Seoul,Gwangjin-gu,32310
2020-01-01,2,20,female,Seoul,Jongno-gu,15830
2020-01-01,2,20,male,Seoul,Jongno-gu,16440
2020-01-01,2,20,female,Seoul,Jung-gu,11780
2020-01-01,2,20,male,Seoul,Jung-gu,11910
2020-01-01,2,20,female,Seoul,Jungnang-gu,24880
2020-01-01,2,20,male,Seoul,Jungnang-gu,25670
2020-01-01,2,20,female,Seoul,Mapo-gu,37540
2020-01-01,2,20,male,Seoul,Mapo-gu,38490
2020-01-01,2,20,female,Seoul,Nowon-gu,34880
2020-01-01,2,20,male,Seoul,Nowon-gu,39540
2020-01-01,2,20,female,Seoul,Seocho-gu,31590
2020-01-01,2,20,male,Seoul,Seocho-gu,30380
2020-01-01,2,20,female,Seoul,Seodaemun-gu,25410
2020-01-01,2,20,male,Seoul,Seodaemun-gu,24930
2020-01-01,2,20,female,Seoul,Seongbuk-gu,30720
2020-01-01,2,20,male,Seoul,Seongbuk-gu,30240
